library,term,datasets,combined_nes,se,ci_lo,ci_hi,p_value,tau2,I2,direction,n_up,n_down,direction_ratio,sign_test_p,median_gene_set_size,mean_lead_fraction,lead_genes_all,lead_genes_all_size,lead_genes_core,lead_genes_core_size,q_value,cluster_id,abs_combined_nes,rep_term
Reactome_2022,Mitophagy R-HSA-5205647,10,-1.634158962110832,0.1976442495505234,-2.0215416912298583,-1.2467762329918062,1.1102230246251563e-16,0.0,0.0,down,0,10,1.0,0.001953125,28,0.3585164835164835,ATG5;CSNK2A2;CSNK2B;FUNDC1;MAP1LC3A;MFN1;MFN2;MTERF3;PINK1;PRKN;RPS27A;SQSTM1;SRC;TOMM20;TOMM22;TOMM40;TOMM6;TOMM7;TOMM70;UBA52;UBB;ULK1;VDAC1,23,ATG5;CSNK2B;MAP1LC3A;MFN2;PINK1;TOMM22;TOMM70;UBB;VDAC1,9,1.4397085674171386e-15,6,1.634158962110832,Endosomal Sorting Complex Required For Transport (ESCRT) R-HSA-917729
Reactome_2022,ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821,10,1.5830802048301136,0.1695699217069499,1.2507231582844918,1.9154372513757356,2.220446049250313e-16,0.0,0.0,up,8,2,0.8,0.109375,128,0.2958472158640054,ADCY1;ADCY2;ADCY4;ADCY5;ADCY6;ADCY7;ADCY8;ADCY9;ADCYAP1;ADCYAP1R1;ADM;ADM2;ADORA2A;ADORA2B;ADRB1;ADRB2;ADRB3;AVPR2;C1QTNF1;CALCB;CALCR;CALCRL;CHGA;CPAMD8;CREB1;CRHR1;CRHR2;CYSLTR2;DRD1;DRD5;FSHB;FSHR;GHRH;GHRHR;GIPR;GLP1R;GLP2R;GNAI1;GNAI2;GNAI3;GNAS;GNAT3;GNAZ;GNB1;GNB2;GNB3;GNB4;GNB5;GNG10;GNG11;GNG12;GNG13;GNG2;GNG4;GNG7;GNG8;GNGT1;GNGT2;GPBAR1;GPHA2;GPHB5;GPR15;GPR150;GPR176;GPR20;GPR25;GPR32;GPR39;GPR45;GPR83;GPR84;HRH2;HTR4;HTR6;HTR7;IAPP;IL6;INSL3;LHB;LHCGR;MC1R;MC2R;MC3R;MC4R;MC5R;NLRP3;NPSR1;POMC;PPAN-P2RY11;PRKACB;PRKACG;PRKAR1A;PRKAR1B;PRKAR2A;PRKAR2B;PRKCA;PTGDR;PTGER2;PTGER4;PTGIR;PTH1R;PTH2;PTH2R;PTHLH;PTRH2;RAMP1;RAMP2;RAMP3;RLN2;RLN3;RXFP2;SCT;SCTR;TAAR1;TAAR5;TAAR8;TAAR9;TSHB;TSHR;VIPR1;VIPR2,121,ADCY4;ADCY7;ADCYAP1;ADM;ADM2;ADORA2A;C1QTNF1;CALCRL;GNAI2;GNAS;GNB4;GNB5;GNG11;GPR176;GPR84;IL6;NLRP3;NPSR1;PRKAR1A;PRKAR2B;PTGIR;PTHLH;RAMP2;RAMP3;TSHR,25,1.4397085674171386e-15,3,1.5830802048301136,Chemokine Receptors Bind Chemokines R-HSA-380108
Reactome_2022,Abacavir ADME R-HSA-2161522,10,-1.751682319208506,0.1648038202506222,-2.0746978068997257,-1.4286668315172864,2.220446049250313e-16,0.0,0.0,down,0,10,1.0,0.001953125,9,0.4819444444444444,ABCB1;ABCG2;ADH1A;NT5C2;PCK1;SLC22A3,6,ABCB1;ABCG2;ADH1A;PCK1,4,1.4397085674171386e-15,9,1.751682319208506,Glucuronidation R-HSA-156588
Reactome_2022,Abacavir Transmembrane Transport R-HSA-2161517,9,-1.7009153703583757,0.1669945335378076,-2.028224656092479,-1.3736060846242728,2.220446049250313e-16,0.0,0.0,down,0,9,1.0,0.00390625,5,0.4888888888888889,ABCB1;ABCG2;SLC22A1;SLC22A2;SLC22A3,5,ABCB1;ABCG2,2,1.4397085674171386e-15,9,1.7009153703583757,Glucuronidation R-HSA-156588
Reactome_2022,Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886,10,1.6635414953603729,0.1742244445224286,1.3220615840964127,2.0050214066243326,2.220446049250313e-16,0.0,0.0,up,8,2,0.8,0.109375,33,0.4234439180810664,AREG;H2AB1;H2AC14;H2AC19;H2AC20;H2AC4;H2AC6;H2AC7;H2AJ;H2AX;H2AZ1;H2AZ2;H2BC1;H2BC11;H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC17;H2BC21;H2BC26;H2BC3;H2BC4;H2BC5;H2BC9;H3-3B;H3C13;H3C7;H4C15;KDM4C;KLK2;KLKB1;NCOA2;PKN1,35,AREG;H2AC14;H2AC19;H2AC6;H2AC7;H2AZ1;H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC17;H2BC21;H2BC4;H2BC9;H3C7,16,1.4397085674171386e-15,7,1.6635414953603729,DNA Methylation R-HSA-5334118
Reactome_2022,Activation Of Matrix Metalloproteinases R-HSA-1592389,10,2.0046409487445023,0.138669454687185,1.7328488175576195,2.276433079931385,2.220446049250313e-16,0.0,0.0,up,10,0,1.0,0.001953125,33,0.3847990777338603,CMA1;COL18A1;CTRB2;CTSG;CTSK;FURIN;KLK2;MMP1;MMP10;MMP13;MMP14;MMP17;MMP2;MMP24;MMP3;MMP7;MMP8;MMP9;PLG;PRSS2;PRSS58;TIMP1;TIMP2;TPSAB1,24,COL18A1;CTSK;FURIN;MMP1;MMP10;MMP14;MMP2;MMP3;MMP7;MMP9;TIMP1;TIMP2,12,1.4397085674171386e-15,1,2.0046409487445023,Collagen Formation R-HSA-1474290
Reactome_2022,Adaptive Immune System R-HSA-1280218,10,1.796072960321577,0.137181501183212,1.527197218002481,2.0649487026406725,2.220446049250313e-16,0.0971945173214186,0.5461054646590312,up,10,0,1.0,0.001953125,725,0.3438465918190858,ACTR10;ACTR1A;AHCYL1;AKT3;ANAPC10;ANAPC11;ANAPC13;ANAPC2;ANAPC4;ANAPC7;AP1M1;AP1S1;AP1S2;AP1S3;AP2A1;AP2B1;AP2M1;AP2S1;ARIH2;ASB1;ASB10;ASB11;ASB16;ASB17;ASB2;ASB4;ASB6;ASB9;ATG7;B2M;BCL10;BLK;BLMH;BLNK;BTK;BTLA;BTN1A1;BTN2A1;BTN2A2;BTN3A1;BTN3A2;BTN3A3;BTNL2;BTNL9;BTRC;C3;CALR;CANX;CAPZA1;CAPZA2;CAPZB;CARD11;CBLB;CCNF;CD101;CD19;CD1B;CD1C;CD1D;CD1E;CD200;CD200R1;CD209;CD22;CD226;CD247;CD274;CD28;CD300A;CD300C;CD300E;CD300LB;CD300LF;CD300LG;CD33;CD36;CD3D;CD3E;CD4;CD40;CD40LG;CD74;CD79A;CD79B;CD80;CD81;CD86;CD8A;CD8B;CDC20;CDC26;CDC27;CDC34;CENPE;CHUK;CLEC1B;CLEC2D;CLEC4G;COLEC12;CRTAM;CSK;CTLA4;CTSB;CTSC;CTSE;CTSF;CTSH;CTSK;CTSL;CTSO;CTSS;CUL1;CUL7;CYBA;CYBB;DAPP1;DCTN1;DCTN3;DCTN5;DCTN6;DNM1;DNM3;DTX3L;DYNC1H1;DYNC1I2;DYNC1LI1;DYNLL2;ELOC;ENAH;ERAP1;ERAP2;EVL;FBXL13;FBXL14;FBXL18;FBXL19;FBXL20;FBXL22;FBXL5;FBXL7;FBXL8;FBXO10;FBXO11;FBXO15;FBXO17;FBXO2;FBXO22;FBXO27;FBXO4;FBXO40;FBXO41;FBXO44;FBXO6;FBXO7;FBXW10;FBXW11;FBXW2;FBXW5;FBXW7;FBXW9;FCGR1A;FCGR2B;FGA;FGB;FGG;FKBP1A;FYB1;FYN;FZR1;GLMN;GPR75-ASB3;GRAP2;GRB2;HCST;HECTD1;HECTD2;HECW2;HERC5;HERC6;HLA-A;HLA-B;HLA-C;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DQA1;HLA-DQA2;HLA-DQB2;HLA-DRA;HLA-DRB1;HLA-DRB3;HLA-DRB4;HLA-DRB5;HLA-E;HLA-F;HLA-G;HMGB1;HOXC13;HRAS;HSPA5;HUWE1;ICAM1;ICAM2;ICAM3;ICAM4;ICAM5;ICOS;ICOSLG;IFI30;IFITM1;IGLL5;IKBKG;INPP5D;ITGA4;ITGAL;ITGAV;ITGB1;ITGB2;ITGB5;ITGB7;ITK;ITPR1;ITPR2;ITPR3;JAML;KBTBD13;KBTBD8;KCTD6;KCTD7;KEAP1;KIF11;KIF15;KIF18A;KIF20A;KIF23;KIF2A;KIF2C;KIF3A;KIF3C;KIF4A;KIF5B;KIFAP3;KIR2DL4;KIR2DS1;KIR3DL2;KLC1;KLHL11;KLHL2;KLHL20;KLHL21;KLHL22;KLHL25;KLHL3;KLHL41;KLHL5;KLRB1;KLRD1;KLRF1;KLRG1;KLRK1;LAG3;LAIR1;LAIR2;LCK;LCP2;LILRA1;LILRA2;LILRA3;LILRA4;LILRA5;LILRA6;LILRB1;LILRB2;LILRB4;LILRB5;LMO7;LNPEP;LONRF1;LRR1;LRRC41;LRSAM1;LY96;LYN;MADCAM1;MALT1;MAP3K14;MAP3K8;MAPKAP1;MEX3C;MGRN1;MIB2;MICB;MLST8;MRC1;MRC2;MTOR;MYD88;NCF1;NCF2;NCF4;NCK1;NCR1;NCR2;NCR3;NECTIN2;NEDD4;NFATC1;NFATC2;NFATC3;NFKB1;NFKBIA;NFKBIB;NFKBIE;NPDC1;NPEPPS;ORAI1;ORAI2;OSCAR;PDCD1;PDCD1LG2;PDIA3;PIK3AP1;PIK3C3;PIK3R2;PIK3R3;PILRA;PJA1;PKN1;PKN2;PLCG1;PLCG2;PPIA;PPL;PPP2CB;PPP2R1B;PPP2R5A;PPP2R5B;PPP2R5C;PPP3CA;PPP3CB;PPP3R1;PRICKLE1;PRKCA;PRKCB;PRKCQ;PRKG1;PRKN;PRR5;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMA8;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD10;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD5;PSMD6;PSMD7;PSMD8;PSMD9;PSME1;PSME2;PSME3;PSME4;PTPN11;PTPN22;PTPN6;PTPRC;PTPRJ;RACGAP1;RAET1E;RAP1B;RAP1GAP;RAP1GAP2;RAPGEF3;RAPGEF4;RASGRP1;RASGRP2;RASGRP3;RBBP6;RBCK1;RBX1;REL;RELA;RICTOR;RIPK2;RLIM;RNASE3;RNF111;RNF114;RNF115;RNF123;RNF130;RNF144B;RNF19A;RNF19B;RNF213;RNF217;RNF34;RNF41;RNF7;S100A1;S100A8;S100A9;SAR1B;SEC13;SEC14L2;SEC14L3;SEC22B;SEC23A;SEC24A;SEC24C;SEC24D;SEC31A;SEC61A1;SEC61A2;SEC61B;SEC61G;SELL;SEM1;SH2D1A;SH2D1B;SH3KBP1;SIGLEC1;SIGLEC10;SIGLEC12;SIGLEC5;SIGLEC6;SIGLEC7;SIGLEC8;SIGLEC9;SIPA1;SKP2;SLAMF6;SLAMF7;SMURF1;SMURF2;SNAP23;SOCS1;SOCS3;SOS1;SPNS1;SPSB1;SPSB4;SPTBN2;SRC;STIM1;STX4;SYK;TAB2;TAPBP;TARP;THEM4;THOP1;TIRAP;TLR1;TLR2;TLR4;TLR6;TNFRSF14;TPP2;TRAT1;TREM1;TREM2;TREML1;TREML2;TREML4;TRIB3;TRIM11;TRIM21;TRIM37;TRIM4;TRIM41;TRIM69;TRIM9;TRIP12;TRPC1;TYROBP;UBA1;UBA3;UBA5;UBA52;UBA6;UBA7;UBC;UBE2C;UBE2D1;UBE2D3;UBE2D4;UBE2E2;UBE2E3;UBE2F;UBE2G2;UBE2H;UBE2J1;UBE2J2;UBE2L6;UBE2N;UBE2O;UBE2Q2;UBE2S;UBE2V1;UBE2W;UBE2Z;UBE3C;UBR1;UBR2;UBR4;UFL1;ULBP3;UNKL;VAMP3;VASP;VAV1;VCAM1;VHL;WAS;WSB1;XDH;ZAP70;ZBTB16,547,AKT3;AP1M1;AP1S2;AP1S3;AP2B1;ATG7;B2M;BTK;BTLA;BTN2A1;BTN2A2;BTN3A1;BTN3A2;BTN3A3;C3;CALR;CANX;CARD11;CBLB;CCNF;CD19;CD1B;CD200;CD247;CD274;CD28;CD300A;CD300C;CD33;CD3D;CD3E;CD4;CD40;CD74;CD79A;CD79B;CD80;CD81;CD86;CD8A;CDC20;CDC26;CDC27;CENPE;CLEC2D;CRTAM;CTLA4;CTSB;CTSC;CTSE;CTSH;CTSK;CTSL;CUL7;CYBA;CYBB;DAPP1;DNM1;DNM3;DTX3L;EVL;FBXL7;FBXO41;FBXO6;FBXW7;FCGR1A;FCGR2B;FYB1;FYN;GRAP2;HCST;HECW2;HLA-A;HLA-B;HLA-C;HLA-DMA;HLA-DMB;HLA-DOA;HLA-DOB;HLA-DPA1;HLA-DQA1;HLA-DQB2;HLA-DRA;HLA-DRB1;HLA-DRB3;HLA-DRB4;HLA-DRB5;HLA-E;HLA-F;HLA-G;HSPA5;ICAM1;ICAM2;ICAM3;ICAM4;ICOS;IFI30;IFITM1;IGLL5;INPP5D;ITGA4;ITGAL;ITGAV;ITGB1;ITGB2;ITGB7;ITK;ITPR1;JAML;KIF11;KIF18A;KIF20A;KIF23;KIF2C;KIF3A;KIF3C;KLHL21;KLHL22;KLHL3;KLHL5;KLRG1;LAG3;LAIR1;LAIR2;LCK;LCP2;LILRA1;LILRA2;LILRA3;LILRA5;LILRB1;LILRB2;LILRB4;LY96;LYN;MADCAM1;MALT1;MAP3K8;MICB;MRC2;NCF1;NCF2;NCF4;NECTIN2;NEDD4;NFATC1;NFKBIA;NFKBIE;NPDC1;ORAI1;ORAI2;OSCAR;PDCD1LG2;PDIA3;PIK3AP1;PIK3R2;PIK3R3;PILRA;PJA1;PKN1;PLCG2;PPP2R5B;PPP2R5C;PPP3R1;PRKCB;PRKCQ;PSMA3;PSMA4;PSMA5;PSMB1;PSMB10;PSMB2;PSMB3;PSMB5;PSMB6;PSMB8;PSMB9;PSMC2;PSMC3;PSMD12;PSMD13;PSMD14;PSMD4;PSME1;PSME2;PSME4;PTPRC;RACGAP1;RAPGEF4;RASGRP1;RASGRP2;RASGRP3;REL;RELA;RIPK2;RNF115;RNF144B;RNF19B;RNF213;S100A8;S100A9;SEC13;SEC14L2;SEC24A;SEC24C;SEC24D;SEC31A;SEC61A1;SEC61B;SEC61G;SELL;SEM1;SH2D1A;SIGLEC10;SIGLEC5;SIGLEC7;SIGLEC9;SIPA1;SLAMF6;SLAMF7;SOCS1;SOCS3;TAPBP;TLR1;TLR2;TLR4;TLR6;TREM1;TREML2;TRIM21;TRIM69;TRIP12;TYROBP;UBA6;UBA7;UBE2C;UBE2F;UBE2H;UBE2J1;UBE2L6;UBE2S;VAV1;VCAM1;WAS;XDH;ZAP70,246,1.4397085674171386e-15,0,1.796072960321577,Interferon Alpha/Beta Signaling R-HSA-909733
Reactome_2022,Amyloid Fiber Formation R-HSA-977225,10,1.7750624719410624,0.1323532420864104,1.515650117451698,2.0344748264304267,2.220446049250313e-16,0.0,0.0,up,10,0,1.0,0.001953125,76,0.3418057975779495,APCS;APH1B;APOA1;APOA4;APOE;APP;B2M;BACE1;CALB1;CST3;FGA;FURIN;GGA1;GGA2;GGA3;GSN;H2AB1;H2AC14;H2AC19;H2AC20;H2AC6;H2AC7;H2AX;H2AZ1;H2BC1;H2BC11;H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC17;H2BC21;H2BC26;H2BC3;H2BC4;H2BC5;H2BC9;H3-3B;H3C13;H3C7;HSPG2;IAPP;INS;ITM2B;LTF;LYZ;MFGE8;NCSTN;ODAM;PRKN;PRL;PSENEN;SAA2;SEMG1;SNCA;SNCAIP;TGFBI;TSPAN14;TSPAN15;TSPAN33;TSPAN5;UBA52;UBC;UBE2L6,65,APH1B;APOE;B2M;BACE1;FURIN;H2AC19;H2AC7;H2AZ1;H2BC12;H2BC12L;H2BC17;HSPG2;LTF;LYZ;MFGE8;PSENEN;SAA2;SEMG1;SNCAIP;TGFBI;TSPAN5;UBE2L6,22,1.4397085674171386e-15,0,1.7750624719410624,Interferon Alpha/Beta Signaling R-HSA-909733
Reactome_2022,Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851,10,1.620760914971777,0.1181832570811884,1.3891217310926476,1.8524000988509064,2.220446049250313e-16,0.0,0.0,up,10,0,1.0,0.001953125,161,0.3297662075816314,ADAM17;ADCY1;ADCY2;ADCY4;ADCY7;ADCY8;ADCYAP1;ADCYAP1R1;ADM;ADM2;ADORA2A;ADORA2B;ADRB2;ADRB3;AHCYL1;AVPR2;C1QTNF1;CALCB;CALCR;CALCRL;CD163;CD247;CHGA;CPAMD8;CREB1;CRHR1;CRHR2;CYSLTR1;CYSLTR2;DPEP1;DPEP2;DPEP3;DRD1;DRD5;FCGR1A;FCGR2A;FGR;FSHB;FSHR;FURIN;FYN;GGT5;GHRH;GHRHR;GIPR;GLP2R;GNAI1;GNAI2;GNAI3;GNAS;GNAT3;GNAZ;GNB1;GNB2;GNB3;GNB4;GNB5;GNG10;GNG11;GNG13;GNG2;GNG7;GNG8;GNGT1;GNGT2;GPBAR1;GPHA2;GPHB5;GPR15;GPR150;GPR176;GPR20;GPR25;GPR45;GPR83;GPR84;HCK;HRH2;HTR4;HTR6;HTR7;IAPP;IGLL5;IL10;IL6;INSL3;ITPR1;ITPR2;ITPR3;LHB;LHCGR;LYN;MC1R;MC3R;MC4R;MC5R;MYH9;NLRP3;NPSR1;PLCG1;PLCG2;PLK2;POMC;PPAN-P2RY11;PRKAR1A;PRKAR2B;PRKCA;PTGER2;PTGER4;PTGIR;PTH2;PTH2R;PTHLH;PTRH2;RAMP1;RAMP2;RAMP3;RHBDF2;RLN2;RLN3;RXFP2;SCT;SCTR;SRC;SYK;TAAR1;TAAR5;TAAR8;TAAR9;TARP;TSHB;TSHR;VIPR2,133,ADAM17;ADCY4;ADCY7;ADCYAP1;ADM;ADM2;ADORA2A;ADRB2;C1QTNF1;CALCRL;CD163;CD247;CYSLTR1;DPEP2;FCGR1A;FCGR2A;FGR;FURIN;FYN;GGT5;GNAI2;GNAS;GNB4;GNB5;GNG11;GNG2;GNGT2;GPR176;GPR84;HCK;IGLL5;IL10;IL6;ITPR1;LYN;NLRP3;NPSR1;PLCG2;PLK2;PRKAR1A;PRKAR2B;PTGIR;PTHLH;RAMP1;RAMP2;RAMP3;RHBDF2;TSHR,48,1.4397085674171386e-15,3,1.620760914971777,Chemokine Receptors Bind Chemokines R-HSA-380108
Reactome_2022,Antigen Activates B Cell Receptor Leading To Second Messenger Generation R-HSA-983695,10,1.8171342063774745,0.1701074707332159,1.4837235637403712,2.1505448490145773,2.220446049250313e-16,0.0,0.0,up,10,0,1.0,0.001953125,31,0.5719354838709678,AHCYL1;BLK;BLNK;BTK;CALM1;CD19;CD22;CD79A;CD79B;CLSTN1;DAPP1;FYN;GRB2;IGLL5;ITPR1;ITPR2;ITPR3;LYN;NCK1;ORAI1;ORAI2;PIK3AP1;PLCG2;PTPN6;SH3KBP1;SOS1;STIM1;SYK;TRPC1;VAV1,30,BLK;BLNK;BTK;CD19;CD22;CD79A;CD79B;DAPP1;FYN;IGLL5;ITPR1;LYN;ORAI2;PIK3AP1;PLCG2;PTPN6;SYK;TRPC1;VAV1,19,1.4397085674171386e-15,0,1.8171342063774745,Interferon Alpha/Beta Signaling R-HSA-909733
Reactome_2022,"Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170",10,2.168172588778928,0.1319139117252137,1.909621321797509,2.426723855760347,2.220446049250313e-16,0.0,0.0,up,10,0,1.0,0.001953125,28,0.5247252747252747,B2M;CALR;CANX;ERAP1;ERAP2;HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;HLA-G;HSPA5;PDIA3;PIK3C3;SAR1B;SEC13;SEC14L2;SEC14L3;SEC23A;SEC24A;SEC24C;SEC24D;SEC31A;TAPBP,24,B2M;CALR;CANX;HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;HLA-G;HSPA5;PDIA3;SEC13;SEC14L2;SEC24A;SEC24C;SEC24D;SEC31A;TAPBP,18,1.4397085674171386e-15,1,2.168172588778928,Collagen Formation R-HSA-1474290
Reactome_2022,Antigen processing-Cross Presentation R-HSA-1236975,10,2.398348342509013,0.1244023257601407,2.1545197840191377,2.6421769009988894,2.220446049250313e-16,0.0,0.0,up,10,0,1.0,0.001953125,103,0.4976569961912347,B2M;BTK;CALR;CHUK;CTSL;CTSS;CYBA;CYBB;FCGR1A;FGA;FGB;FGG;HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;HLA-G;HMGB1;IKBKG;ITGAV;ITGB5;LNPEP;LY96;MRC1;MRC2;MYD88;NCF1;NCF2;NCF4;NDUFA2;PDIA3;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMA8;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD10;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD5;PSMD6;PSMD7;PSMD8;PSMD9;PSME1;PSME2;PSME3;PSME4;S100A1;S100A8;S100A9;SEC14L2;SEC14L3;SEC22B;SEC61A1;SEC61A2;SEC61B;SEC61G;SEM1;SNAP23;STX4;TAPBP;TIRAP;TLR1;TLR2;TLR4;TLR6;UBA52;UBC;VAMP3,94,B2M;BTK;CALR;CYBA;CYBB;FCGR1A;HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;HLA-G;ITGAV;LY96;MRC1;MRC2;NCF1;NCF2;NCF4;PDIA3;PSMA1;PSMA3;PSMA4;PSMA5;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB8;PSMB9;PSMC2;PSMD12;PSMD14;PSMD4;PSME1;PSME2;PSME4;S100A8;S100A9;SEC14L2;SEC22B;SEC61A1;SEC61B;SEC61G;SEM1;TAPBP;TLR1;TLR2;TLR4;TLR6;UBA52,54,1.4397085674171386e-15,2,2.398348342509013,Antigen processing-Cross Presentation R-HSA-1236975
Reactome_2022,Antimicrobial Peptides R-HSA-6803157,10,1.9456223239021424,0.1050086090861594,1.7398054500932705,2.151439197711015,2.220446049250313e-16,0.0,0.0,up,10,0,1.0,0.001953125,74,0.401400977374767,ATOX1;BPI;BPIFA2;BPIFB1;BPIFB2;BPIFB6;CCR2;CCR6;CD4;CHGA;CLU;CTSG;DCD;DEFA4;DEFA5;DEFA6;DEFB103A;DEFB104A;DEFB106A;DEFB107A;DEFB114;DEFB118;DEFB119;DEFB123;DEFB124;DEFB126;DEFB127;DEFB129;DEFB136;DEFB4A;ELANE;EPPIN;GNLY;HTN1;HTN3;ITLN1;LCN2;LTF;LYZ;PGLYRP1;PGLYRP2;PGLYRP3;PGLYRP4;PI3;PLA2G2A;PRSS2;PRTN3;REG3A;REG3G;RNASE3;RNASE6;RNASE7;RNASE8;RO60;S100A7;S100A7A;S100A8;S100A9;SEMG1;SLC11A1;TLR1;TLR2;TRIM21;TSPAN32,64,ATOX1;CCR2;CCR6;CD4;CLU;DEFA5;DEFA6;DEFB127;DEFB4A;GNLY;LCN2;LTF;LYZ;PI3;PLA2G2A;REG3A;REG3G;RNASE6;S100A7;S100A8;S100A9;SEMG1;SLC11A1;TLR1;TLR2;TRIM21,26,1.4397085674171386e-15,3,1.9456223239021424,Chemokine Receptors Bind Chemokines R-HSA-380108
Reactome_2022,Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,10,2.419257796349255,0.1249709186529184,2.1743147957895346,2.664200796908976,2.220446049250313e-16,0.0,0.0,up,10,0,1.0,0.001953125,57,0.5717105263157896,BMP1;CD151;COL11A1;COL11A2;COL15A1;COL18A1;COL1A1;COL1A2;COL24A1;COL27A1;COL3A1;COL4A1;COL4A2;COL4A3;COL4A4;COL4A5;COL5A1;COL5A2;COL5A3;COL6A1;COL6A2;COL6A3;COL6A5;COL6A6;COL7A1;COL8A1;COL8A2;COL9A2;COL9A3;CTSB;CTSL;CTSS;DST;ITGA6;ITGB4;LAMA4;LAMC2;LOX;LOXL1;LOXL2;LOXL3;LOXL4;MMP13;MMP3;MMP7;MMP9;PCOLCE;PLEC;PXDN;TLL1;TLL2,51,COL15A1;COL18A1;COL1A1;COL1A2;COL3A1;COL4A1;COL4A2;COL4A4;COL5A1;COL5A2;COL5A3;COL6A1;COL6A2;COL6A3;COL7A1;COL8A1;CTSB;CTSL;ITGA6;ITGB4;LAMA4;LAMC2;LOX;LOXL1;LOXL2;LOXL3;MMP3;MMP7;MMP9;PCOLCE;PLEC;PXDN,32,1.4397085674171386e-15,1,2.419257796349255,Collagen Formation R-HSA-1474290
Reactome_2022,Autophagy R-HSA-9612973,10,-1.72117344747041,0.0983109123301907,-1.913862835637584,-1.5284840593032365,2.220446049250313e-16,0.0,0.0,down,0,10,1.0,0.001953125,128,0.3892068345686972,AMBRA1;ARL13B;ATG10;ATG101;ATG13;ATG14;ATG16L1;ATG3;ATG4B;ATG4C;ATG4D;ATG5;ATG9A;BECN1;CETN1;CFTR;CHMP2A;CHMP2B;CHMP4B;CHMP4C;CHMP6;CHMP7;CSNK2A2;CSNK2B;DYNC1H1;DYNC1I2;DYNC1LI1;DYNC1LI2;DYNLL1;DYNLL2;EEF1A1;EPAS1;FUNDC1;GABARAP;GABARAPL1;GABARAPL2;GFAP;HDAC6;HSF1;HSP90AA1;HSP90AB1;HSPA8;IFT88;LAMP2;LAMTOR1;LAMTOR2;LAMTOR3;LAMTOR4;LAMTOR5;MAP1LC3A;MAP1LC3C;MFN1;MFN2;MLST8;MTERF3;MTMR14;MTMR3;MTOR;MVB12B;NBR1;PARK7;PCNT;PEX5;PIK3C3;PIK3R4;PINK1;PLIN2;PRKAA1;PRKAA2;PRKAB1;PRKAB2;PRKAG1;PRKAG2;PRKAG3;PRKN;RB1CC1;RNASE1;RNF103-CHMP3;RPS27A;RPTOR;RRAGA;RRAGB;RRAGC;RRAGD;SLC38A9;SQSTM1;SRC;TOMM20;TOMM22;TOMM40;TOMM6;TOMM7;TOMM70;TSC1;TSC2;TSG101;UBA52;UBAP1;UBB;UBE2N;ULK1;USP30;UVRAG;VDAC1;VPS28;VPS37A;VPS37B;VPS37C;VPS37D;WDR45B;WIPI1;WIPI2,112,AMBRA1;ATG10;ATG14;ATG4B;ATG4D;ATG5;BECN1;CFTR;CHMP2A;CHMP2B;CHMP4B;CHMP4C;CSNK2B;DYNC1LI2;EEF1A1;GABARAPL2;LAMP2;LAMTOR3;LAMTOR4;MAP1LC3A;MFN2;MTMR3;MVB12B;NBR1;PEX5;PIK3C3;PIK3R4;PINK1;PLIN2;PRKAB1;PRKAB2;RNASE1;RNF103-CHMP3;RRAGB;SLC38A9;TOMM22;TOMM70;TSC1;TSC2;TSG101;UBB;USP30;VDAC1;VPS28;VPS37B;VPS37C;WIPI2,47,1.4397085674171386e-15,6,1.72117344747041,Endosomal Sorting Complex Required For Transport (ESCRT) R-HSA-917729
